#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.26 aq:10.76 tex:4158 mv:1640 misc:5866 imb:1200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.26 aq:16.56 tex:3077 mv:893 misc:254 imb:20 pmb:53 smb:1127 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.26 aq:14.67 tex:533 mv:787 misc:248 imb:8 pmb:39 smb:1153 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:15 mv:115 misc:230 imb:1 pmb:20 smb:1179 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.26 aq:24.86 tex:172 mv:543 misc:221 imb:2 pmb:32 smb:1166 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:29.26 aq:15.97 tex:3560 mv:933 misc:251 imb:30 pmb:49 smb:1121 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:29.26 aq:22.74 tex:827 mv:744 misc:253 imb:5 pmb:46 smb:1149 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.26 aq:20.37 tex:123 mv:484 misc:233 imb:2 pmb:32 smb:1166 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.26 aq:16.71 tex:250 mv:383 misc:239 imb:2 pmb:26 smb:1172 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:29.26 aq:15.51 tex:2520 mv:876 misc:252 imb:22 pmb:54 smb:1124 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:29.26 aq:21.99 tex:744 mv:924 misc:260 imb:2 pmb:58 smb:1140 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:29.26 aq:22.73 tex:154 mv:548 misc:234 imb:0 pmb:33 smb:1167 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.26 aq:22.39 tex:133 mv:305 misc:218 imb:1 pmb:21 smb:1178 d:- ref:0 ;
