#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.26 aq:10.76 tex:4158 mv:1640 misc:5866 imb:1200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.26 aq:16.54 tex:3013 mv:817 misc:250 imb:28 pmb:45 smb:1127 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.26 aq:14.65 tex:543 mv:824 misc:273 imb:9 pmb:40 smb:1151 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:15 mv:115 misc:230 imb:1 pmb:20 smb:1179 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.26 aq:24.72 tex:204 mv:522 misc:242 imb:2 pmb:31 smb:1167 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:29.26 aq:20.87 tex:3549 mv:799 misc:244 imb:41 pmb:37 smb:1122 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:29.26 aq:22.75 tex:793 mv:696 misc:255 imb:4 pmb:47 smb:1149 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.26 aq:20.79 tex:126 mv:511 misc:235 imb:1 pmb:37 smb:1162 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.26 aq:16.71 tex:249 mv:343 misc:232 imb:2 pmb:25 smb:1173 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:29.26 aq:15.46 tex:2505 mv:752 misc:239 imb:40 pmb:35 smb:1125 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:29.26 aq:21.98 tex:649 mv:842 misc:269 imb:1 pmb:55 smb:1144 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:29.26 aq:22.52 tex:141 mv:489 misc:226 imb:0 pmb:33 smb:1167 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.26 aq:22.39 tex:145 mv:331 misc:236 imb:0 pmb:24 smb:1176 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:29.26 aq:20.41 tex:2690 mv:733 misc:265 imb:20 pmb:39 smb:1141 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:29.26 aq:23.22 tex:390 mv:572 misc:270 imb:1 pmb:38 smb:1161 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:16 mv:289 misc:207 imb:1 pmb:17 smb:1182 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:29.26 aq:23.83 tex:112 mv:308 misc:204 imb:0 pmb:17 smb:1183 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:29.26 aq:14.65 tex:2444 mv:721 misc:259 imb:25 pmb:40 smb:1135 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:29.26 aq:21.34 tex:130 mv:312 misc:246 imb:1 pmb:17 smb:1182 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:29.26 aq:22.61 tex:65 mv:118 misc:193 imb:0 pmb:15 smb:1185 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:29.26 aq:24.47 tex:52 mv:113 misc:171 imb:0 pmb:7 smb:1193 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:29.26 aq:14.89 tex:2130 mv:563 misc:267 imb:10 pmb:38 smb:1152 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:29.26 aq:20.66 tex:55 mv:135 misc:218 imb:0 pmb:9 smb:1191 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:2 mv:14 misc:152 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:29.26 aq:20.33 tex:2632 mv:598 misc:274 imb:16 pmb:39 smb:1145 d:- ref:0 w:6,61,1 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:29.26 aq:21.61 tex:104 mv:141 misc:203 imb:0 pmb:9 smb:1191 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:2 mv:12 misc:154 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:2 mv:12 misc:154 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:29.26 aq:20.17 tex:2458 mv:668 misc:258 imb:13 pmb:43 smb:1144 d:- ref:0 w:4,15,1 ;
