#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.26 aq:11.84 tex:10199 mv:6116 misc:5861 imb:1200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.26 aq:14.53 tex:11904 mv:2390 misc:298 imb:199 pmb:91 smb:910 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.26 aq:24.98 tex:3217 mv:3063 misc:424 imb:19 pmb:186 smb:995 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:19 mv:62 misc:231 imb:1 pmb:13 smb:1186 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.26 aq:21.61 tex:2766 mv:2904 misc:418 imb:18 pmb:178 smb:1004 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:29.26 aq:14.45 tex:5662 mv:2488 misc:306 imb:191 pmb:159 smb:850 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:29.26 aq:14.59 tex:5530 mv:2305 misc:365 imb:72 pmb:152 smb:976 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.26 aq:19.78 tex:5960 mv:2673 misc:327 imb:159 pmb:182 smb:859 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:29.26 aq:16.40 tex:15862 mv:2787 misc:319 imb:220 pmb:98 smb:882 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:29.26 aq:24.61 tex:6013 mv:3766 misc:429 imb:57 pmb:185 smb:958 d:- ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:29.26 aq:24.52 tex:2091 mv:2505 misc:444 imb:13 pmb:149 smb:1038 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:29.26 aq:24.99 tex:1291 mv:2827 misc:514 imb:18 pmb:184 smb:998 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:29.26 aq:15.65 tex:5843 mv:2863 misc:358 imb:132 pmb:203 smb:865 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:29.26 aq:15.94 tex:6552 mv:2705 misc:423 imb:136 pmb:193 smb:871 d:- ref:0 ;
in:15 out:14 type:P dur:2 cpbdur:2 q:29.26 aq:15.88 tex:9748 mv:2771 misc:361 imb:188 pmb:136 smb:876 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:29.26 aq:24.08 tex:870 mv:2382 misc:468 imb:19 pmb:166 smb:1015 d:- ref:0 ;
in:17 out:16 type:P dur:2 cpbdur:2 q:29.26 aq:16.53 tex:7933 mv:2549 misc:326 imb:150 pmb:143 smb:907 d:- ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:29.26 aq:28.04 tex:853 mv:2121 misc:450 imb:8 pmb:152 smb:1040 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:29.26 aq:16.18 tex:4021 mv:2043 misc:336 imb:74 pmb:162 smb:964 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:29.26 aq:21.88 tex:4516 mv:1923 misc:329 imb:59 pmb:147 smb:994 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:29.26 aq:13.85 tex:4168 mv:1826 misc:326 imb:58 pmb:142 smb:1000 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:29.26 aq:21.06 tex:4266 mv:1685 misc:345 imb:46 pmb:136 smb:1018 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:29.26 aq:22.75 tex:4197 mv:1693 misc:318 imb:56 pmb:142 smb:1002 d:- ref:0 ;
in:24 out:23 type:P dur:2 cpbdur:2 q:29.26 aq:21.46 tex:5199 mv:1777 misc:288 imb:52 pmb:127 smb:1021 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:29.26 aq:19.41 tex:128 mv:998 misc:354 imb:2 pmb:77 smb:1121 d:- ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:29.26 aq:21.63 tex:4596 mv:1615 misc:341 imb:48 pmb:120 smb:1032 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:29.26 aq:21.38 tex:150 mv:1119 misc:339 imb:2 pmb:76 smb:1122 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:29.26 aq:21.15 tex:6539 mv:1628 misc:273 imb:54 pmb:106 smb:1040 d:- ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:29.26 aq:14.71 tex:448 mv:1767 misc:353 imb:5 pmb:106 smb:1089 d:- ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:29.26 aq:25.85 tex:189 mv:881 misc:322 imb:0 pmb:67 smb:1133 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:29.26 aq:22.84 tex:246 mv:871 misc:339 imb:0 pmb:69 smb:1131 d:- ref:0 ;
in:32 out:31 type:P dur:2 cpbdur:2 q:29.26 aq:15.70 tex:4400 mv:1304 misc:352 imb:18 pmb:99 smb:1083 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:29.26 aq:24.74 tex:475 mv:1081 misc:308 imb:3 pmb:68 smb:1129 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:29.26 aq:14.75 tex:7177 mv:1531 misc:268 imb:46 pmb:94 smb:1060 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:29.26 aq:21.72 tex:1509 mv:1667 misc:304 imb:3 pmb:97 smb:1100 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:29.26 aq:24.72 tex:391 mv:1057 misc:288 imb:1 pmb:66 smb:1133 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.26 aq:23.01 tex:365 mv:894 misc:285 imb:3 pmb:53 smb:1144 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.26 aq:14.32 tex:6905 mv:1285 misc:282 imb:38 pmb:84 smb:1078 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:29.26 aq:23.58 tex:1613 mv:1278 misc:301 imb:3 pmb:85 smb:1112 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:29.26 aq:24.05 tex:629 mv:1059 misc:288 imb:0 pmb:62 smb:1138 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:29.26 aq:23.38 tex:361 mv:809 misc:262 imb:1 pmb:51 smb:1148 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:29.26 aq:13.38 tex:6381 mv:1276 misc:279 imb:46 pmb:81 smb:1073 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:29.26 aq:23.06 tex:1503 mv:1321 misc:320 imb:8 pmb:74 smb:1118 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:29.26 aq:23.66 tex:480 mv:787 misc:269 imb:1 pmb:51 smb:1148 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:29.26 aq:22.21 tex:336 mv:785 misc:271 imb:1 pmb:57 smb:1142 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:29.26 aq:13.78 tex:6983 mv:1459 misc:294 imb:35 pmb:90 smb:1075 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:29.26 aq:21.94 tex:1270 mv:1459 misc:327 imb:1 pmb:92 smb:1107 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:29.26 aq:21.22 tex:321 mv:833 misc:294 imb:1 pmb:55 smb:1144 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:29.26 aq:23.83 tex:313 mv:743 misc:280 imb:2 pmb:50 smb:1148 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:29.26 aq:12.54 tex:6626 mv:1469 misc:305 imb:21 pmb:100 smb:1079 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:29.26 aq:14.90 tex:761 mv:1415 misc:352 imb:2 pmb:87 smb:1111 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:29.26 aq:22.04 tex:321 mv:728 misc:279 imb:1 pmb:51 smb:1148 d:- ref:0 ;
